Horizon	VaR	ExpShortfall
1	0.0453836622984928	0.0656178456982964
2	0.0657200966354647	0.0850883887765654
3	0.07868718324059	0.0989142116660034
4	0.0895442047102005	0.110471896431644
5	0.0991902235318032	0.120786825839488
6	0.108046460312484	0.130227550449698
7	0.11616592634003	0.138916560173272
8	0.123795256714664	0.147101879128043
9	0.131017826849008	0.154917882177983
10	0.137930923636376	0.16236964493379
11	0.144513214743761	0.16952296055078
12	0.150804017186039	0.176450498705824
13	0.156961407021524	0.183123604905418
14	0.162934389644216	0.189632283436216
15	0.168716233189367	0.195990401699656
16	0.174340815104038	0.20214389867224
17	0.179832583100545	0.208130493415867
18	0.185162186642617	0.214013104157073
19	0.190450929528618	0.219793461213708
20	0.195568469721262	0.225400518993837
21	0.200563609989401	0.230959613817244
22	0.205552538776094	0.236381077204709
23	0.210360895225223	0.241734216389489
24	0.215182540846597	0.247005091261703
25	0.219911851343661	0.252163633468271
26	0.2245205192434	0.257271471535792
27	0.229012315882014	0.262230291875004
28	0.233541453177037	0.267213093295063
29	0.237983309853917	0.27207923266276
30	0.242376357154344	0.276883658760449
31	0.246717228077002	0.281600694931013
32	0.25093368014762	0.286298243641018
33	0.255193231587006	0.290925175592823
34	0.259364135506313	0.295451472115425
35	0.263420600252513	0.299955179826159
36	0.267510028309819	0.304482064517695
37	0.271536324171307	0.308860443126813
38	0.275516199563017	0.313256146184381
39	0.27947178805176	0.317611030610377
40	0.283343733044932	0.321876182960187
41	0.287172093987754	0.326093945548525
42	0.291110242326121	0.330369449628205
43	0.294884415944648	0.334511852494572
44	0.298702764352902	0.338706533547001
45	0.302450019372929	0.342859109848309
46	0.306225376192395	0.346883944060317
47	0.30988003733143	0.3509666562013
48	0.313530899789165	0.354980891781658
49	0.317070186863624	0.358952823252269
50	0.320664022869579	0.362960779343813
