HorizonDays,BootstrapProbability,GaussianProbability
1,0.00430115648717023,0.00027290048771125
2,0.0140241778099023,0.00642662098710375
3,0.0256542464763281,0.019388010813371
4,0.0380018431514276,0.034361799859084
5,0.0502474882544271,0.0489233499943013
6,0.0617251174557283,0.0622582057629491
7,0.0722926635345138,0.0741965507816897
8,0.0818789302493675,0.0848005891990645
9,0.0906151427538852,0.0942050218297013
10,0.0985007228044813,0.102556668405605
11,0.105575352367185,0.109992710434637
12,0.111958980845681,0.116634113621545
13,0.117733791109505,0.122584942916215
14,0.123095952294904,0.127933812317781
15,0.127847741235996,0.132755941755621
16,0.132236393205638,0.137115216773225
17,0.136211817853271,0.141066034173026
18,0.139867076255873,0.144654878135365
19,0.143153559812071,0.147921635614006
20,0.146221720274666,0.150900682290257
21,0.148997578604987,0.153621775183158
22,0.151507119624142,0.156110785812703
23,0.153844777737622,0.158390303265361
24,0.156047018431514,0.16048013160092
25,0.158049801228768,0.162397701545206
26,0.159895663173112,0.164158412578191
27,0.161607408745934,0.165775918367592
28,0.163127502710517,0.167262365943615
29,0.164577123238164,0.16862859696543
30,0.165933610408384,0.169884317800557
31,0.167139284423563,0.171038243842116
32,0.168234405493314,0.172098222457389
33,0.169282688832671,0.173071338138912
34,0.17025301770871,0.173964002772125
35,0.171123418865197,0.174782033406882
36,0.171923491145645,0.175530719496341
37,0.17270426454644,0.176214881224654
38,0.173379183230936,0.176838920267599
39,0.17401163715215,0.17740686410475
40,0.174643368268883,0.177922404817561
41,0.175170075894471,0.178388933156734
42,0.175599710878207,0.178809568537963
43,0.176004445247561,0.179187185522514
44,0.176400289121793,0.179524437254031
45,0.176754752439465,0.179823776252156
46,0.177084026020961,0.180087472904514
47,0.177364221178171,0.180317631949083
48,0.177625009035056,0.180516207197443
49,0.177847415973979,0.180685014714315
50,0.178032345500542,0.180825744639179
